

RunID,N,Sampler,Utilities,Mu,Lambda,NumFuncEvals,Time,Fitness
1,2,CholeskyCovarSampler,linear_utilities,3,8,10000,0.049825974,1.232595164407831e-32
1,2,CholeskyCovarSampler,linear_utilities,4,8,10000,0.052012183,0.2630907007262055
1,2,CholeskyCovarSampler,linear_utilities,1,4,10000,0.093040259,4.930380657631324e-32
1,2,CholeskyCovarSampler,linear_utilities,1,4,10000,0.094458256,0.0
1,2,CholeskyCovarSampler,linear_utilities,1,4,10000,0.109412055,0.0
1,2,CholeskyCovarSampler,linear_utilities,2,4,10000,0.10206324,0.005918592831645722
1,2,CholeskyCovarSampler,linear_utilities,2,4,10000,0.08681887,0.6574541027853965
1,2,CholeskyCovarSampler,linear_utilities,1,8,10000,0.064321078,0.0
1,2,CholeskyCovarSampler,linear_utilities,1,8,10000,0.061580325,0.0
1,2,CholeskyCovarSampler,linear_utilities,2,8,10000,0.049515967,0.0
1,2,CholeskyCovarSampler,linear_utilities,3,8,10000,0.05108805,1.2818989709841442e-30
1,2,CholeskyCovarSampler,linear_utilities,4,8,10000,0.060629162,0.22664872887288537
1,2,CholeskyCovarSampler,linear_utilities,1,16,10000,0.025908582,0.0
1,2,CholeskyCovarSampler,linear_utilities,2,16,10000,0.042464827,0.0
1,2,CholeskyCovarSampler,linear_utilities,3,16,10000,0.048106905,0.0
1,2,CholeskyCovarSampler,linear_utilities,6,16,10000,0.047127936,4.880482551270032e-16
1,2,CholeskyCovarSampler,linear_utilities,8,16,10000,0.056082904,0.34126329991019433
1,2,EigenCovarSampler,log_utilities,1,8,10000,0.087411764,0.0
1,2,EigenCovarSampler,log_utilities,1,8,10000,0.061674786,0.0
1,2,EigenCovarSampler,log_utilities,2,8,10000,0.074419061,0.0
1,2,EigenCovarSampler,log_utilities,3,8,10000,0.068529757,0.0
1,2,EigenCovarSampler,log_utilities,4,8,10000,0.080638856,0.0
1,2,EigenCovarSampler,log_utilities,1,4,10000,0.122727828,0.0
1,2,EigenCovarSampler,log_utilities,1,4,10000,0.11246392,3.1554436208840472e-30
1,2,EigenCovarSampler,log_utilities,1,4,10000,0.124407458,1.9721522630525295e-31
1,2,EigenCovarSampler,log_utilities,2,4,10000,0.100292962,4.930380657631324e-32
1,2,EigenCovarSampler,log_utilities,2,4,10000,0.151668891,0.0
1,2,EigenCovarSampler,log_utilities,1,8,10000,0.073934112,0.0
1,2,EigenCovarSampler,log_utilities,1,8,10000,0.076294868,0.0
1,2,EigenCovarSampler,log_utilities,2,8,10000,0.063617574,0.0
1,2,EigenCovarSampler,log_utilities,3,8,10000,0.083443958,1.232595164407831e-32
1,2,EigenCovarSampler,log_utilities,4,8,10000,0.061778804,0.0
1,2,EigenCovarSampler,log_utilities,1,16,10000,0.03227753,0.0
1,2,EigenCovarSampler,log_utilities,2,16,10000,0.049572858,0.0
1,2,EigenCovarSampler,log_utilities,3,16,10000,0.04164701,0.0
1,2,EigenCovarSampler,log_utilities,6,16,10000,0.058531368,0.0
1,2,EigenCovarSampler,log_utilities,8,16,10000,0.050303619,0.0
1,2,CholeskyCovarSampler,log_utilities,1,8,10000,0.073626407,0.0
1,2,CholeskyCovarSampler,log_utilities,1,8,10000,0.052705442,0.0
1,2,CholeskyCovarSampler,log_utilities,2,8,10000,0.053049917,0.0
1,2,CholeskyCovarSampler,log_utilities,3,8,10000,0.072311069,0.0
1,2,CholeskyCovarSampler,log_utilities,4,8,10000,0.05034785,0.0
1,2,CholeskyCovarSampler,log_utilities,1,4,10000,0.093407272,0.0
1,2,CholeskyCovarSampler,log_utilities,1,4,10000,0.091595838,0.0
1,2,CholeskyCovarSampler,log_utilities,1,4,10000,0.096887771,0.0
1,2,CholeskyCovarSampler,log_utilities,2,4,10000,0.098013488,1.9721522630525295e-31
